Код товара в старой базе;Наименование в старой базе;Код товара в Новой базе;Наименование в новой базе
УП0004699  ;Калтык говяжий зам.в в\у;00000001193;Калтык  говяжий  зам. вак/упак
УП0004700  ;Легкое говяжье зам.в в\у;00000001194;Легкое  говяжье зам. вак/упак
УП0004701  ;Мозги говяжьи зам в в\у;00000001195;Мозги  говяжьи зам. вак/упак
УП0004702  ;Мясо хвост гов зам.в в\у;00000001196;Мясо-хвост  гов зам. вак/упак
УП0004703  ;Ноги говяжьи фасованные;00000001197;Ноги  говяжьи зам. вак/упак
УП0004704  ;Печень говяжья зам. в/у;00000001198;Печень  говяжья  зам. вак/упак
УП0004705  ;Почки говяжьи зам. в/у;00000001199;Почки   говяжьи зам. вак/упак
УП0004719  ;Рубец говяжий в упаковке;00000001200;Рубец  говяжий  зам. вак/упак
УП0004706  ;Сердце говяжье зам в в\у;00000001201;Сердце  говяжье зам. вак/упак
УП0004707  ;Уши говяжьи фасованные;00000001202;Уши   говяжьи зам. вак/упак
УП0004708  ;Язык говяжий зам в в\у;00000001203;Язык  говяжий  зам. вак/упак
УП0002321  ;Спинопоясничный отруб свиной б/ш б/к  охл до 0,5 тонн;00000001207;Спинопоясничный отруб свиной в/у,б/к,б/шк,охл.упак
УП0002777  ;Спинопоясничный отруб свиной б/ш б/к в в/у охл. 1-2кг;00000001208;Спинопоясничный отруб свиной б/к,б/шк,1-2кг.охл. вак.упак
УП0002773  ;Шейный отруб свиной б/ш б/к до0,5т охл..вак.упак;00000001209;Шейный отруб свиной б/шк,б/к.охл. вак.упак
УП0002781  ;Шейный отруб свиной б/шк б/к охл. 1-2кг. вак.упак;00000001210;Шейный отруб свиной б/шк,б/к 1-2кг.охл. вак.упак
УП0002779  ;Тазобедрен.отруб свиной б/к б/ш охл.1-2 кг;00000001211;Тазобедренный  отруб свиной б/шк,б/к.охл. вак.упак
УП0001538  ;Тазобедрен.отруб свиной б/к б/ш охл.до 0,5 т;00000001211;Тазобедренный  отруб свиной б/шк,б/к.охл. вак.упак
УП0002745  ;Рулька свиная с/к в/шк в/у  охл;00000001213;Рулька  свиная в шк. с костью   охл. вак. упак
УП0005095  ;Передняя голяшка свиная с/к в/шк в/у  охл;00000001213;Рулька  свиная в шк. с костью   охл. вак. упак
УП0002771  ;Плечелопаточный отруб свиной б\шкуры,б\кости в вак\упаковке охл до 0,5 т;00000001214;Плечелопаточный  отруб свиной б/шк,б/к.охл. вак.упак
УП0002775  ;Плечелопаточный отруб свиной б/ш б/к охл.в/у 1-2кг;00000001215;Плечелопаточный  отруб свиной б/шк,б/к 1-2кг.охл. вак.упак
УП0002308  ;Спинопоясничный отруб свиной б/ш б/к в в/у зам до 0,5т;00000001219;Спинопоясничный отруб свиной в/у,б/к.б/шк.зам.упак
УП0002776  ;Спинопоясничный отруб свиной б/ш б/к в в/у 1-2кг зам.;00000001221;Спинопоясничный отруб свиной б/к.б/шк 1-2кг. зам.вак.упак
УП0001118  ;Шейный отруб свиной б/шк б/к зам. до0,5т. вак.упак;00000001222;Шейный  отруб свиной б/шк.б/к.зам.вак.упак
УП0002780  ;Шейный отруб свиной б/ш б/к 1-2кг замор.вак.упак;00000001223;Шейный  отруб свиной б/шк.б/к. 1-2кг. зам.вак.упак
УП0001119  ;Тазобедренный отруб свиной б/к б/ш зам.вак.до 0,5тонн;00000001224;Тазобедренный  отруб свиной б/шк.б/к.зам.вак.упак
УП0002778  ;Тазобедрен.отруб свиной б/к б/ш зам.1-2 кг;00000001225;Тазобедренный  отруб свиной б/шк.б/к. 1-2кг. зам.вак.упак
УП0002744  ;Рулька свиная с/к в/шк в/у зам.;00000001226;Рулька  свиная  в шк.  с костью  зам.вак.  упак
УП0001117  ;Плечелопаточный отруб свиной б\шкуры,б\кости в вак\упаковке зам до 0,5 т;00000001228;Плечелопаточный  отруб свиной б/шк.б/к.зам.вак.упак
УП0002774  ;Плечелопаточный отруб свиной б/ш б/к зам.в/у 1-2кг;00000001229;Плечелопаточный  отруб свиной б/шк.б/к.1-2кг.зам.вак.упак
УП0004944  ;Свинина жил.с м/д жир.тк.от 30%до 50%.Мясной блок зам..;00000001232;Свинина жилованная с массовой долей жировой ткани не более 30-50%
УП0004940  ;Свинина жил. с м/д жир. тк. не более 80%.Мясной блок зам..;00000001233;Свинина жилованная с массовой долей жировой ткани не более 80%. Мясной блок заморож.
УП0000787  ;Шпик свиной  боковой б/шк зам.;00000001235;Шпик боковой  свиной  упак
УП0000760  ;Шпиг свиной хребтовой зам.б/шк до1тонны;00000001236;Шпик хребтовой  свиной  упак
УП0000715  ;Шкурка свиная обраб. зам.;00000001237;Шкура  свиная  упак
УП0003047  ;Кость свиная пищевая;00000001239;Кость свиная пищевая упак
УП0003046  ;Кость говяжья пищевая;00000001240;кость гов  пищевая упак
СТ0005885  ;"охл. Котлета натуральная ""Имперская""";00000001246;"Котлета натуральная ""Имперская""из свинины охл.упак"
СТ0005887  ;"охл. Ребрышки свиные ""Имперские""";00000001247;"Ребрышки свиные ""Имперские"" охл.упак"
СТ0005892  ;"охл. Шейка ""Имперская""";00000001248;"Шейка ""Имперская""из свинины охл.упак"
СТ0005896  ;"охл.Эскалоп ""Имперский""";00000001249;"Эскалоп ""Имперский""из свинины охл.упак"
СТ0005894  ;"охл. Гуляш ""Имперский""";00000001250;"Гуляш ""Имперский""из свинины охл.упак"
СТ0005886  ;"охл. Поджарка ""Имперская""";00000001251;"Поджарка ""Имперская""из свинины охл.упак"
СТ0005884  ;"охл. Корейка ""Имперская""";00000001252;"Корейка ""Имперская""из свинины охл.упак"
СТ0005888  ;"охл. Свинина для запекания ""Имперская""";00000001253;"Свинина для запекания ""Имперская"" охл.упак"
СТ0005889  ;"охл. Свинина духовая ""Имперская""";00000001254;"Свинина  духовая ""Имперская"" охл.упак"
СТ0005893  ;"охл. Шницель натуральный ""Имперский""";00000001255;"Шницель  натуральный ""Имперский""из свинины охл.упак"
СТ0005895  ;"охл.Свинина для поджарки ""Имперская""";00000001256;"Свинина для поджарки ""Имперская"" охл.упак"
;"Мясо для шашлыка ""Имперское"" в/уп.";00000001257;"Мясо для шашлыка ""Имперское""из свинины охл.упак"
СТ0002453  ;"зам. Котлета натуральная ""Имперская""";00000001259;"Котлета натуральная ""Имперская"" из свинины зам.упак"
СТ0002454  ;"зам. Ребрышки  свиные ""Имперские""";00000001260;"Ребрышки свиные  ""Имперские""  зам.упак"
СТ0002459  ;"зам. Шейка ""Имперская""";00000001261;"Шейка ""Имперская"" из свинины зам.упак"
СТ0002461  ;"зам. Эскалоп ""Имперский """;00000001262;"Эскалоп ""Имперский"" из свинины зам.упак"
СТ0002462  ;"зам.Гуляш ""Имперский""";00000001263;"Гуляш ""Имперский"" из свинины зам.упак"
СТ0002464  ;"зам.Поджарка ""Имперская""";00000001264;"Поджарка ""Имперская"" из свинины зам.упак"
СТ0002463  ;"зам.Корейка ""Имперская""";00000001265;"Корейка ""Имперская"" из свинины зам.упак"
